"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US1206","Congressional District 6 (116th Congress), Florida","781896","8360"
"5001600US1207","Congressional District 7 (116th Congress), Florida","786041","13741"
"5001600US1208","Congressional District 8 (116th Congress), Florida","768139","3024"
"5001600US1209","Congressional District 9 (116th Congress), Florida","902812","20446"
"5001600US1210","Congressional District 10 (116th Congress), Florida","839504","18537"
"5001600US1211","Congressional District 11 (116th Congress), Florida","789849","13261"
"5001600US1212","Congressional District 12 (116th Congress), Florida","792410","7591"
"5001600US1213","Congressional District 13 (116th Congress), Florida","735935","7767"
"5001600US1214","Congressional District 14 (116th Congress), Florida","782973","14164"
"5001600US1215","Congressional District 15 (116th Congress), Florida","808723","20744"
"5001600US1216","Congressional District 16 (116th Congress), Florida","852096","13146"
"5001600US1217","Congressional District 17 (116th Congress), Florida","789236","13581"
"5001600US1218","Congressional District 18 (116th Congress), Florida","780772","10481"
"5001600US1219","Congressional District 19 (116th Congress), Florida","836359","13306"
"5001600US1220","Congressional District 20 (116th Congress), Florida","809153","13616"
"5001600US1221","Congressional District 21 (116th Congress), Florida","785042","11791"
"5001600US1222","Congressional District 22 (116th Congress), Florida","753363","10621"
"5001600US1223","Congressional District 23 (116th Congress), Florida","756447","8875"
"5001600US1224","Congressional District 24 (116th Congress), Florida","784469","19182"
"5001600US1225","Congressional District 25 (116th Congress), Florida","775326","15148"
"5001600US1226","Congressional District 26 (116th Congress), Florida","790373","16539"
"5001600US1227","Congressional District 27 (116th Congress), Florida","763812","16464"
"5001600US1301","Congressional District 1 (116th Congress), Georgia","744385","4981"
"5001600US1302","Congressional District 2 (116th Congress), Georgia","665539","7079"
"5001600US1303","Congressional District 3 (116th Congress), Georgia","740700","9410"
"5001600US1304","Congressional District 4 (116th Congress), Georgia","785104","19145"
"5001600US1305","Congressional District 5 (116th Congress), Georgia","793039","13915"
"5001600US1306","Congressional District 6 (116th Congress), Georgia","754299","10790"
"5001600US1307","Congressional District 7 (116th Congress), Georgia","803976","17033"
"5001600US1308","Congressional District 8 (116th Congress), Georgia","714720","6522"
"5001600US1309","Congressional District 9 (116th Congress), Georgia","765320","6205"
"5001600US1310","Congressional District 10 (116th Congress), Georgia","767352","13064"
"5001600US1311","Congressional District 11 (116th Congress), Georgia","781313","12118"
"5001600US1312","Congressional District 12 (116th Congress), Georgia","723334","6201"
"5001600US1313","Congressional District 13 (116th Congress), Georgia","757521","18192"
"5001600US1314","Congressional District 14 (116th Congress), Georgia","722873","3197"
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","709286","9744"
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","711205","9744"
"5001600US1601","Congressional District 1 (116th Congress), Idaho","912950","7168"
"5001600US1602","Congressional District 2 (116th Congress), Idaho","841258","7168"
"5001600US1701","Congressional District 1 (116th Congress), Illinois","706550","18246"
"5001600US1702","Congressional District 2 (116th Congress), Illinois","694459","12990"
"5001600US1703","Congressional District 3 (116th Congress), Illinois","704050","13980"
"5001600US1704","Congressional District 4 (116th Congress), Illinois","702062","14207"
"5001600US1705","Congressional District 5 (116th Congress), Illinois","743699","16300"
"5001600US1706","Congressional District 6 (116th Congress), Illinois","730345","10985"
"5001600US1707","Congressional District 7 (116th Congress), Illinois","707513","16445"
"5001600US1708","Congressional District 8 (116th Congress), Illinois","707268","10987"
